Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","0603",47.244000,-37.211000,90.000000,bottom
"C2","100nF","0603",59.182000,-37.465000,90.000000,bottom
"C3","100nF","0603",48.387000,-40.640000,0.000000,bottom
"C4","100nF","0603",57.785000,-45.847000,180.000000,bottom
"C5","100nF","0603",45.301000,-50.165000,180.000000,bottom
"C6","100nF","0603",58.928000,-49.657000,90.000000,bottom
"C7","100nF","0603",49.149000,-49.530000,90.000000,bottom
"C8","100nF","0603",56.007000,-49.657000,90.000000,bottom
"C9","1uF","0603",26.162000,-48.857000,90.000000,bottom
"C10","1uF","0603",23.749000,-45.974000,180.000000,bottom
"C11","100nF","0603",61.722000,-64.135000,-90.000000,bottom
"C12","100nF","0603",68.199000,-42.545000,-90.000000,bottom
"C13","100nF","0603",64.516000,-44.577000,90.000000,bottom
"C14","2.2uF","0603",69.723000,-43.815000,-90.000000,bottom
"C15","2.2uF","0603",65.532000,-40.005000,0.000000,bottom
"C16","100nF","0603",61.722000,-54.610000,90.000000,bottom
"C18","100nF","0603",62.865000,-59.309000,0.000000,bottom
"C19","100nF","0603",25.146000,-59.309000,-90.000000,bottom
"C21","10uF","0603",41.656000,-44.958000,0.000000,bottom
"C22","100nF","0603",34.798000,-42.291000,0.000000,bottom
"C23","100nF","0603",38.608000,-53.594000,180.000000,bottom
"C24","100nF","0603",34.798000,-49.911000,0.000000,bottom
"C25","100nF","0603",34.798000,-48.387000,0.000000,bottom
"C26","100nF","0603",34.798000,-43.815000,0.000000,bottom
"C27","100nF","0603",38.608000,-49.911000,180.000000,bottom
"C28","100nF","0603",38.608000,-42.799000,180.000000,bottom
"C29","100nF","0603",34.798000,-53.594000,0.000000,bottom
"C30","2.2uF","0603",34.798000,-45.339000,0.000000,bottom
"C31","2.2uF","0603",34.798000,-46.863000,0.000000,bottom
"D1","BAT54S","SOT-23",34.798000,-35.814000,90.000000,bottom
"IC2","MIC5504-3.3v","SOT-23-5",23.622000,-48.895000,90.000000,bottom
"Logo1","Logo","Logo-Small",24.384000,-64.389000,180.000000,bottom
"R1","5.1K","0603",28.956000,-51.816000,-90.000000,bottom
"R2","5.1K","0603",28.956000,-45.339000,90.000000,bottom
"R3","10K","0603",38.608000,-48.387000,0.000000,bottom
"R4","5.1K","0603",75.311000,-35.052000,0.000000,bottom
"R5","5.1K","0603",75.311000,-37.846000,0.000000,bottom
"R12","10K","0603",59.182000,-54.610000,-90.000000,bottom
"R14","33K","0603",59.182000,-57.785000,-90.000000,bottom
"R15","4.7K","0603",59.182000,-60.960000,-90.000000,bottom
"R16","4.7K","0603",59.182000,-64.135000,-90.000000,bottom
"R19","10K","0603",41.529000,-42.253000,-90.000000,bottom
"R21","10K","0603",38.608000,-44.958000,0.000000,bottom
"RN1","2.2K","0603x4",56.769000,-33.147000,-90.000000,bottom
